Text,FIRST_NAME,LAST_NAME,FULL_NAME,ADDRESS,PHONE,EMAIL,NATIONAL_ID
Mitt namn är Maria Wikander och jag skulle vilja prata med kundtjänst,Maria,Wikander,Maria Wikander,,,,
Du kan nå mig på min mail: hannes.svensson@gmail.com,,,,,,hannes.svensson@gmail.com,
Om du har frågor kan du ringa mig på 0708654364,,,,,0708654364,,
Patientens namn: Lars Johansson. Personnummer: 880615-4227,Lars,Johansson,Lars Johansson,,,,880615-4227
"Sara Göransson bor på Svangatan 27, 21167 Västerås",Sara,Göransson,Sara Göransson,"Svangatan 27, 21167 Västerås",,,
På dagtid kan du nå mig på 0709824563,,,,,0709824563,,
Hej! Jag har en fråga till läkare Tanya Söderström som jag träffade igår.,Tanya,Söderström,Tanya Söderström,,,,
Du får gärna maila mig på nayara.oberg@malmo.se,,,,,,nayara.oberg@malmo.se,
Jag vill komma i kontakt med Diana Carlsen.,Diana,Carlsen,Diana Carlsen,,,,
Stämmer detta telefonnummer till Sayed Dahlberg? 070-23 45 78,Sayed,Dahlberg,Sayed Dahlberg,,070-23 45 78,,
Hennes personnummer är 970825-9080 och hon bor på Tallvägen 22 i Göteborg,,,,Tallvägen 22 i Göteborg,,,970825-9080
Mitt telefonnummer är 0706 22 45 78 och min e-post är laura.strom@outlook.com,,,,,0706 22 45 78,laura.strom@outlook.com,
Du får gärna smsa mig på 070 981 99 77 idag eller imorgon.,,,,,070 981 99 77,,
Patienten har personnummer 199912059909,,,,,,,199912059909
"Mitt namn är Emma Bergström och jag bor på Liljegatan 12, 113 51 Stockholm.",Emma,Bergström,Emma Bergström,"Liljegatan 12, 113 51 Stockholm",,,
Ring gärna mig på 0705123456 eller skicka mail till emma.bergstrom@hotmail.com,,,,,0705123456,emma.bergstrom@hotmail.com,
"Patient: Johan Nilsson. Personnummer: 830507-1234. Adress: Parkvägen 3, 754 20 Uppsala.",Johan,Nilsson,Johan Nilsson,"Parkvägen 3, 754 20 Uppsala",,,830507-1234
Du når honom på 07 765 434 81 om du behöver hjälp.,,,,,07 765 434 81,,
"Hej, jag heter Aisha Hassan och min e-post är aisha.hassan@gmail.se",Aisha,Hassan,Aisha Hassan,,,aisha.hassan@gmail.se,
"Anna-Lena Karlsson, bor på Storgatan 45A, 216 10 Malmö.",Anna-Lena,Karlsson,Anna-Lena Karlsson,"Storgatan 45A, 216 10 Malmö",,,
Ska vi kontakta Isak Pettersson? Telefonnummer: 070-987 65 43.,Isak,Pettersson,Isak Petterrsson,,070-987 65 43,,
Du kan maila support: malin.olofsson@company.se eller ringa 073 234 54 67.,,,,,073 234 54 67,malin.olofsson@company.se,
Patientens namn: Lars-Mikael Frid. Personnummer: 651215-6537.,Lars-Mikael,Frid,Lars-Mikael Frid,,,,651215-6537
"Jag bor på Ågatan 7, 582 23 Linköping — mobil 0721239900.",,,,"Ågatan 7, 582 23 Linköping",0721239900,,
Kontaktperson: Sofia Lind. E-post: sofia.lind@privat.se. Telefon: 07 63 44 67.,Sofia,Lind,Sofia Lind,,07 63 44 67,sofia.lind@privat.se,
"Behöver boka tid för Martin Öberg, personnummer 19940630-2468.",Martin,Öberg,Martin Öberg,,,,19940630-2468
Mitt mobilnummer är +46 70 111 65 89 och min mail är kajsa.stromqvist@gmail.com,,,,,46 70 111 65 89,kajsa.stromqvist@gmail.com,
"Hej, jag heter Oskar Åkesson och behöver boka tid — ring mig på 070 3333333.",Oskar,Åkesson,Oskar Åkesson,,070 3333333,,
"Mina personuppgifter: Namn: Lisa Persson; Personnummer: 041112-9979; Adress: Tallgatan 18, 903 27 Umeå.",Lisa,Persson,Lisa Persson,"Tallgatan 18, 903 27 Umeå",,,041112-9979
Skicka bekräftelse till andersson@info.se eller till telefon 070 897 54 32.,,,,,070 897 54 32,andersson@info.se,
"Min nya adress är Hertigvägen 2B, 541 30 Skövde. Kontakt: per.hakansson@example.org.",,,,"Hertigvägen 2B, 541 30 Skövde",,per.hakansson@example.org,
"Samir Dahl, född 880826-7788, mobil 070-2121212, bor i Norrköping på Östergatan 11.",Samir,Dahl,Samir Dahl,Norrköping på Östergatan 11,070-2121212,,
"Hej, jag är Camilla Frisk — personnummer 20101231-4320 — och du når mig via camilla.frisk@hotmail.se.",Camilla,Frisk,Camilla Frisk,,,camilla.frisk@hotmail.se,20101231-4320
"Hej, jag heter Karin Mårtensson och bor på Södra Kyrkogatan 5, 412 55 Göteborg. Telefon: 070 211 00 33.",Karin,Mårtensson,Karin Mårtensson,"Södra Kyrkogatan 5, 412 55 Göteborg",070 211 00 33,,
"Patient: Åke Nylander. Personnummer: 670402-3345. Adress: Fagerstigen 12 B, 722 12 Uppsala.",Åke,Nylander,Åke Nylander,"Fagerstigen 12 B, 722 12 Uppsala",,,670402-3345
Mitt namn är Elin Norberg - telefonnummer 08 44 55 66 - och min mail är elin.norberg@mail.test,Elin,Norberg,Elin Norberg,,08 44 55 66,elin.norberg@mail.test,
Patienten söker kontakt med läkare Nyberg för förnyelse av recept,,Nyberg,,,,,
Efter en sjukhusvistelse på 6 dagar har Göran blivit bättre och kan återvända till hemmet på Sjögatan 12 i Umeå,Göran,,,Sjögatan 12 i Umeå,,,
Försäkringskassan har försökt komma i kontakt med Anja Larsson angående sjukförsäkring. Personnr 8804196788.,Anja,Larsson,Anja Larsson,,,,8804196788
"Ärendet gäller förnyelse av recept till patient vid namn Bengt, personnummer är 19270506-7788",Bengt,,,,,,19270506-7788
Vid frågor kan ni ringa receptionen på 040 56 89 78 och fråga efter Miriam,Miriam,,,,040 56 89 78,,
"Målsägande: Maximilian Eskilsson, bosatt på Lövstigen 27, 546 78 Stoby. ",Maximilian,Eskilsson,Maximilian Eskilsson,"Lövstigen 27, 546 78 Stoby",,,
"Vill boka tid åt min klient: Hans-Erik Göransson, personnummer 1967 08 30 3233",Hans-Erik,Göransson,Hans-Erik Göransson,,,,1967 08 30 3233
"Om man har personnummer 20101113-2344, är man tillräckligt gammal för att köpa energidryck då?",,,,,,,20101113-2344
"Jag har skickat ett tiotal mejl till sverker@email.com men jag får inget svar, är det verkligen rätt mailadress till Sverker?",Sverker,,,,,sverker@email.com,
"Kontakt: Elvira Nord, 073 120 45 67 eller el.nord@hotmail.com",Elvira,Nord,Elvira Nord,el.nord@hotmail.com,073 120 45 67,,
Jag vill helst att bekräftelsen skickas till min privata epost: hanna.lov@info.nu,,,,,,hanna.lov@info.nu,
"Hej! Tack för din ansökan. Vi har tagit emot din ansökan, och vid frågor kommer vi att kontakta dig på 0704 35 67 89.",,,,,0704 35 67 89,,
"skicka alla pappersfakturor till Solvallagatan 44B, lgh 001, 344 56 Gävle.",,,,"Solvallagatan 44B, lgh 001, 344 56 Gävle",,,
"Hej, detta gäller ett akut ärende, ring mig snarast. 0708 65 34 55",,,,,0708 65 34 55,,
"Kontor: Anna Berg, anna.berg@firma.se. Telefonnummer dagtid: (031) 45 67 89.",Anna,Berg,Anna Berg,,(031) 45 67 89,anna.berg@firma.se,
"Jonas Pettersson, född 1993-07-21-0123 och bosatt på Ängsvägen 3, 76120, är sökt i ärendet.",Jonas,Pettersson,Jonas Pettersson,"Ängsvägen 3, 76120",,,1993-07-21-0123
"Sara Holmström, personnr 820330-5566, mobil 072 123 45 69.",Sara,Holmström,Sara Holmström,,072 123 45 69,,820330-5566
"Calle är förnamnet, Jakobsen efternamnet.",Calle,Jakobsen,Calle Jakobsen,,,,
Vill boka tid åt: Patrik Wallin. E-post: patrik.wallin@bokning.se. Tel: 070-12 43 667. Tack!,Patrik,Wallin,Patrik Wallin,patrik.wallin@bokning.se,070-12 43 667,,
"Min adress: Lärkstigen 7, 583 18 Linköping. Namn: Maja Fredriksson. Personnummer: 2000-05-05-0002.",Maja,Fredriksson,Maja Fredriksson,"Lärkstigen 7, 583 18 Linköping",,,2000-05-05-0002
Ring receptionen på 08-700 11 22. Kontaktperson: Fredrika Öhman.,Fredrika,Öhman,Fredrika Öhman,,08-700 11 22,,
"HJALMAR SÖDERBERGS ALLÉ 34, 900 11 SUNDSVALL",,,,"HJALMAR SÖDERBERGS ALLÉ 34, 900 11 SUNDSVALL",,,
"Emelie Hammar, 951230-1212, 073 444 33 55, Parkallén 20, 254 44 Eslöv",Emelie,Hammar,Emelie Hammar,"Parkallén 20, 254 44 Eslöv",073 444 33 55,,951230-1212
"Skicka alla avtal till svensson.johansson@email.se eller med post till Blommans väg 23, 77711 Falun",,,,"Blommans väg 23, 77711 Falun",,svensson.johansson@email.se,
Jag har försökt ringa på 0708557766 men får inget svar. Ska jag testa mailadressen hanserik@outlook.se?,,,,,0708557766,hanserik@outlook.se,
"Patienten heter kristina Löv, personnummer 540101-7880, e-post: info.kristinalov@example.org. Mobil 072 435 578",kristina,Löv,kristina Löv,,072 435 578,info.kristinalov@example.org,540101-7880
Amir Karim har under förmiddagen ringt för att boka tid. Han kan nås på 0734-568987,Amir,Karim,Amir Karim,,0734-568987,,
"Namn: Hanne Wilma Norling. Kontaktuppgifter: 0766 345 234, Hjälmaregatan 2B, Jönköping",Hanne,Norling,Hanne Wilma Norling,"Hjälmaregatan 2B, Jönköping",0766 345 234,,
"Hej! Jag heter Malin. Jag har problem med min internetuppkoppling sen igår. Snövädersvägen 4, Lgh 1023. ",Malin,,,"Snövädersvägen 4, Lgh 1023.",,,
Om problemen kvarstår kan du alltid skicka iväg ett meddelande till supporten: hjalp@info.se eller på mobil 079 - 980 45 55,,,,,079 - 980 45 55,hjalp@info.se,
Detta gäller att avboka resa med bokningsnummer 45FGHE98XZ. Skicka bekräftelsen till hansson.k@live.se,,,,,,hansson.k@live.se,
Efter att ha vandrat omkring på Odenplan hittade jag tillslut rätt lägenhet: Lergöksvägen 5a,,,,Lergöksvägen 5a,,,
Två dagar senare är det fortfarande tyst och släckt på Ullaredsgatan 13 där Julius bor. ,Julius,,,Ullaredsgatan 13,,,
akut ärende gällande 0408997788 lovisa liv fröberg,lovisa,fröberg,lovisa liv fröberg,,,,0408997788
Våra reportrar har sökt VD Hans-Olof Grip men inte fått något svar.,Hans-Olof,Grip,Hans-Olof Grip,,,,
